,paste your data here:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
T,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,,,,
20,4420.419921875,302.623138427734,585.368408203125,2745.08276367188,5592.7978515625,953.14794921875,2425.75415039063,7220.8232421875,3336.12915039063,5762.53662109375,7140.98681640625,11084.7763671875,,,,
21,4569.3623046875,600.273559570313,308.470611572266,2398.37573242188,5043.83447265625,1128.578125,2346.32861328125,7156.85791015625,3119.57080078125,5561.7080078125,6749.73046875,10866.1572265625,,,,
22,4367.79638671875,368.045349121094,252.560546875,2222.5556640625,5163.21630859375,802.196350097656,2164.20849609375,7007.42333984375,3201.4912109375,5065.02197265625,6637.298828125,10511.1328125,,,,
23,4160.3720703125,282.476318359375,421.91650390625,2231.2548828125,4849.43310546875,1079.39196777344,1845.19738769531,6757.47509765625,2899.08203125,5098.05078125,6597.1318359375,10414.1298828125,,,,
24,3925.7978515625,377.906646728516,571.858642578125,2286.19995117188,4437.3056640625,791.438110351563,1911.5283203125,6713.64453125,2734.38012695313,5039.9013671875,6560.763671875,9990.8857421875,,,,
25,3863.17895507813,406.869445800781,377.230163574219,2011.71728515625,4446.32421875,534.3427734375,1862.86315917969,6619.64013671875,2679.63549804688,4733.0556640625,6249.486328125,9939.3046875,,,,
26,3995.81787109375,286.285430908203,241.791122436523,1710.70202636719,4234.19970703125,751.666625976563,1750.35021972656,6599.97216796875,2571.67919921875,4544.439453125,6285.86572265625,9645.4423828125,,,,
27,3474.57373046875,266.368713378906,335.518768310547,1767.0048828125,3480.88256835938,532.83642578125,1563.39343261719,6524.03515625,2631.23583984375,4610.73583984375,6252.81689453125,9447.1904296875,,,,
28,3835.19482421875,271.401641845703,237.902770996094,1451.3017578125,3561.10205078125,748.212158203125,1666.6806640625,6376.6708984375,2514.0234375,4084.56811523438,6121.2099609375,9193.087890625,,,,
29,3338.873046875,289.393463134766,236.309783935547,1623.74914550781,3153.60595703125,319.800384521484,1516.10107421875,6203.78662109375,2204.3544921875,4196.91015625,6097.6494140625,9105.41015625,,,,
30,3419.8759765625,279.425506591797,244.148864746094,1730.83471679688,2862.82299804688,401.494140625,1395.826171875,5942.3505859375,2071.83422851563,4000.72583007813,5545.9384765625,9055.5546875,,,,
31,3530.3818359375,278.591033935547,247.654525756836,1477.83447265625,2793.59252929688,387.695892333984,1265.6396484375,5740.11865234375,2037.97998046875,3778.18041992188,5712.640625,8734.328125,,,,
32,3410.7509765625,275.020202636719,243.593826293945,1438.84912109375,2465.55102539063,428.740264892578,1389.67321777344,5552.36572265625,2160.6875,3838.69604492188,5463.32958984375,8608.3623046875,,,,
33,3148.294921875,282.012451171875,223.323181152344,1282.56286621094,2155.9208984375,286.207763671875,1115.83984375,5844.91259765625,2109.50659179688,3793.05200195313,5531.88916015625,8259.2509765625,,,,
34,3362.10009765625,276.369842529297,235.280868530273,1160.36694335938,2226.85595703125,233.095565795898,1239.9580078125,5524.5732421875,1975.19812011719,3228.70092773438,5394.17529296875,8200.958984375,,,,
35,2797.96411132813,263.579315185547,252.470855712891,1258.4130859375,1986.48315429688,234.737045288086,1271.89501953125,5253.3408203125,1941.56372070313,3445.26904296875,5390.068359375,8265.15234375,,,,
36,3059.2626953125,285.035064697266,252.227447509766,1251.05615234375,1962.9072265625,246.457214355469,1041.89245605469,5176.70654296875,1889.37060546875,3256.1484375,5162.017578125,8233.7265625,,,,
37,2938.12451171875,272.563934326172,247.397445678711,1271.45336914063,1667.03955078125,389.783721923828,1004.92236328125,5064.4404296875,1964.48669433594,3230.42504882813,5309.478515625,8280.7412109375,,,,
38,3318.880859375,276.403045654297,252.132690429688,1149.20275878906,1596.37316894531,244.78092956543,1256.86987304688,4996.1728515625,1926.95251464844,3419.67944335938,5212.78271484375,8441.9462890625,,,,
39,3047.7109375,274.248870849609,239.89421081543,978.581420898438,1592.35668945313,383.441650390625,1058.4677734375,4969.44287109375,1888.83215332031,3392.916015625,5430.79052734375,8537.189453125,,,,
40,2978.9453125,290.870483398438,245.861679077148,1219.60668945313,1659.51025390625,374.292999267578,1147.66821289063,5236.13720703125,2148.67456054688,3547.388671875,5718.00341796875,8759.1083984375,,,,
41,2966.13647460938,303.399139404297,251.184112548828,1162.94140625,1580.982421875,273.779846191406,1275.18139648438,5250.390625,2561.916015625,3809.32470703125,6171.80712890625,9336.375,,,,
42,3111.56298828125,309.247314453125,280.510650634766,1374.27661132813,1677.1474609375,576.555908203125,1547.29602050781,5474.60400390625,2914.33715820313,4378.9248046875,6999.2177734375,9794.3349609375,,,,
43,3269.50366210938,308.850311279297,293.396667480469,1435.18933105469,1825.82373046875,979.510559082031,2062.759765625,6097.55908203125,4074.4345703125,5388.4853515625,8150.66552734375,11091.0224609375,,,,
44,2987.3330078125,352.693084716797,291.111389160156,1682.90600585938,2093.29541015625,1256.94177246094,2681.81469726563,7047.35546875,5557.1357421875,6574.646484375,10406.7158203125,12983.3837890625,,,,
45,3343.29345703125,341.362121582031,330.804229736328,1848.4814453125,2398.427734375,2163.54174804688,3890.92578125,8604.759765625,7791.02783203125,8840.271484375,12868.80859375,15430.59765625,,,,
46,3412.533203125,368.594268798828,359.549926757813,2207.56127929688,3420.23095703125,3261.54956054688,5538.861328125,11042.068359375,10886.8974609375,11767.7470703125,17257.291015625,19204.380859375,,,,
47,3885.80322265625,411.198394775391,516.349731445313,3035.55493164063,4718.09130859375,5334.4365234375,8206.892578125,14331.314453125,14808.3671875,15502.3232421875,21757.705078125,23259.54296875,,,,
48,4022.041015625,432.064575195313,1134.55517578125,4661.4677734375,7017.72900390625,8017.83203125,11615.4130859375,17846.6015625,18549.232421875,19263.69140625,26022.01171875,27123.3984375,,,,
49,4552.37353515625,1110.33410644531,2232.3916015625,6462.474609375,10205.150390625,11529.015625,15430.62890625,21452.775390625,21893.673828125,22384.662109375,29733.09375,30097.1328125,,,,
50,5423.00830078125,2208.55786132813,4359.30908203125,9304.9306640625,14176.1259765625,15171.55078125,18745.513671875,24513.349609375,24886.580078125,25388.818359375,33607.22265625,33165.8203125,,,,
51,6664.2265625,3930.6416015625,7080.408203125,13130.5302734375,17837.90625,18333.44140625,21601.849609375,28138.3671875,29643.048828125,28553.87109375,39087.8828125,37103.76171875,,,,
52,8991.908203125,6721.94140625,10197.326171875,16428.671875,21204.67578125,21425.51953125,25333.15625,32897.6640625,35999.6875,33477.5625,46726.65234375,41963.109375,,,,
53,11841.8095703125,10276.15234375,13391.8974609375,19616.96484375,24765.68359375,25734.740234375,30478.833984375,40271.30859375,44477.29296875,39744.64453125,56069.3671875,48885.83203125,,,,
54,15655.19921875,13758.08984375,16254.2666015625,23213.32421875,30022.2265625,32228.220703125,37436.6640625,48933.19140625,53685.7265625,46467.82421875,65982.8984375,55902.84765625,,,,
55,19055.181640625,16173.904296875,19157.064453125,27730.62890625,37207.74609375,40324.98828125,44850.6640625,56597.546875,60316.5390625,51511.85546875,72024.1953125,61101.94140625,,,,
56,21555.8359375,18975.345703125,22879.86328125,34088.10546875,45591.5703125,48092.21484375,50791.00390625,61627.8984375,63751.48046875,54017.8671875,74619.3046875,62906.4140625,,,,
57,24327.615234375,22966.947265625,29095.3203125,42469.93359375,53991.18359375,53802.62890625,53282.4765625,62996.609375,63930.125,53927.59765625,73952.03125,62408.5625,,,,
58,28636.146484375,29388.330078125,35920.01171875,48878.4140625,58348.8046875,55018.00390625,53057.61328125,61802.16015625,62476.06640625,52244.171875,71745.1171875,60759.15234375,,,,
59,34266.7265625,36121.96875,41475.85546875,52181.80859375,58517.61328125,53914.15625,51216.73828125,59790.109375,59579.953125,50287.32421875,69228.625,58934.04296875,,,,
60,41707.4453125,42228.578125,43697.28515625,51201.94140625,56693.61328125,51942.828125,48900.54296875,57368.08984375,56969.875,48488.05859375,66242.5546875,56490.2109375,,,,
61,46097.00390625,44171.23828125,42272.73046875,49733.8984375,54538.203125,49432.5859375,46656.140625,54922.234375,54447.1875,46460.2578125,63191.0703125,54562.3515625,,,,
62,46729.3203125,43440.55859375,40956.62890625,47384.64453125,51776.6015625,47012.11328125,44388.2109375,51943.90234375,52047.83203125,44132.6484375,60294.08984375,52420.87890625,,,,
63,45344.546875,41914.953125,39038.7109375,45212.20703125,49516.8359375,44347.47265625,41936.8671875,49608.94921875,49002.23828125,42092.1875,57558.01171875,49989.1171875,,,,
64,43276.94921875,40516.1328125,37207.82421875,43081.09765625,47418.953125,42331.34765625,39996.89453125,47267.59375,46516.1640625,40471.94921875,54645.10546875,48038.98046875,,,,
65,41026.33203125,38597.5,35078.3359375,40843.76953125,44791.2890625,39824.73828125,37890.7890625,44874.21484375,44433.8046875,38587.12890625,52120.57421875,45835.109375,,,,
66,39124.15625,36645.70703125,33156.96484375,38393.40234375,42585.5234375,37537.3515625,35980.40625,42628.1875,41847.7265625,36469.40234375,49448.07421875,44023.81640625,,,,
67,37035.63671875,34632.0859375,31796.18359375,36422.6640625,40193.578125,35555.3125,34005.5859375,40279.0625,39717.5859375,35089.6328125,46932.28125,41689.96484375,,,,
68,35381.87890625,32716.251953125,29841.484375,34590.6640625,38065.3125,33722.70703125,32357.599609375,38333.1640625,37649.078125,33097.58984375,44303.03125,39674.34375,,,,
69,33419.76171875,31143.798828125,28323.51171875,32787.48828125,36192.9296875,31684.46484375,30598.580078125,36254.26953125,35560.4296875,31606.943359375,42386.82421875,38013.0859375,,,,
70,31700.08203125,28650.01171875,26602.0390625,30420.732421875,34276.890625,29903.427734375,28816.33203125,33976.38671875,33811.3515625,30041.76171875,40225.0234375,35873.00390625,,,,
71,29968.796875,27152.970703125,24791.8828125,28924.94140625,32398.2734375,28431.9140625,27441.515625,32048.6796875,31671.984375,28119.58984375,37887.01171875,34085.4296875,,,,
72,28441.505859375,25237.671875,23253.84765625,27319.78125,30626.74609375,26660.501953125,26070.28515625,30583.240234375,30166.796875,26672.23046875,35966.5625,32016.873046875,,,,
73,26929.18359375,23842.23828125,21876.3984375,25507.2890625,28930.546875,25105.583984375,24650.12109375,29208.185546875,28647.427734375,25243.3046875,34176.671875,30616.88671875,,,,
74,25121.142578125,21963.37890625,20057.0234375,23921.255859375,27013.330078125,23718.0703125,23188.939453125,27440.70703125,26723.91796875,24030.896484375,31919.505859375,29002.037109375,,,,
75,23891.646484375,20919.478515625,18933.955078125,22527.89453125,25505.650390625,22381.36328125,21913.802734375,25840.95703125,25326.11328125,22869.443359375,30174.744140625,27030.56640625,,,,
76,22596.951171875,19201.71484375,17387.77734375,21053.857421875,24182.4765625,20947.3125,20740.5703125,24355.23046875,23923.48046875,21803.9765625,28348.765625,25515.7109375,,,,
77,20653.931640625,17531.43359375,16309.93359375,19665.166015625,22460.529296875,19853.96875,19702.537109375,22979.94921875,22393.130859375,20125.19921875,26787.552734375,23781.99609375,,,,
78,19057.359375,16314.6103515625,15208.8583984375,18367.84375,21039.46484375,18537.486328125,18380.34375,21290.939453125,21054.986328125,18994.25,25288.51953125,22298.69140625,,,,
79,18126.109375,15194.26171875,13983.087890625,16777.412109375,19785.8203125,17094.15625,17099.4921875,19995.3046875,19699.8515625,17990.521484375,23453.68359375,20791.748046875,,,,
80,16364.1279296875,13982.3671875,12641.255859375,15541.1669921875,18365.693359375,16033.75390625,15842.9033203125,18334.224609375,18239.90625,16527.91015625,21770.8359375,19559.796875,,,,
81,15222.015625,12816.3046875,11666.109375,14361.248046875,16654.75390625,14826.73828125,14782.021484375,17088.146484375,17037.38671875,15581.12890625,20094.609375,17846.69921875,,,,
82,14542.427734375,11614.9326171875,10340.46484375,13026.5546875,15217.0859375,13847.587890625,13543.5908203125,15641.6787109375,15364.6826171875,13994.2216796875,18615.08203125,17013.419921875,,,,
